iter	Passed	Remaining
0	1	125
1	2	113
2	3	101
3	3	93
4	4	91
5	5	89
6	7	96
7	9	105
8	11	119
9	13	119
10	14	115
11	15	111
12	16	107
13	16	104
14	18	103
15	19	102
16	20	100
17	24	109
18	25	108
19	26	105
20	27	102
21	28	99
22	29	97
23	30	97
24	31	95
25	32	93
26	36	97
27	37	96
28	38	94
29	39	92
30	40	90
31	41	88
32	42	87
33	43	85
34	44	83
35	48	85
36	51	87
37	52	85
38	53	83
39	54	81
40	55	79
41	55	77
42	56	75
43	57	73
44	58	71
45	59	69
46	60	68
47	61	66
48	63	65
49	64	64
50	65	62
51	66	61
52	67	59
53	68	58
54	69	56
55	74	58
56	75	56
57	76	55
58	77	53
59	78	52
60	79	50
61	80	49
62	80	47
63	81	45
64	82	44
65	83	42
66	86	42
67	87	41
68	88	39
69	89	38
70	90	36
71	91	35
72	92	34
73	92	32
74	93	31
75	94	29
76	95	28
77	97	27
78	100	26
79	100	25
80	101	23
81	102	22
82	103	21
83	104	19
84	105	18
85	106	17
86	106	15
87	107	14
88	109	13
89	111	12
90	113	11
91	114	9
92	114	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	121	0
